drug,term,count
olaparib,PANCYTOPENIA,255
olaparib,WHITE BLOOD CELL COUNT DECREASED,249
olaparib,RENAL IMPAIRMENT,228
olaparib,PYREXIA,224
olaparib,TOXICITY TO VARIOUS AGENTS,203
olaparib,NEUTROPHIL COUNT DECREASED,202
olaparib,RASH,201
olaparib,WEIGHT DECREASED,194
olaparib,NEUTROPENIA,188
olaparib,ABDOMINAL PAIN,182
olaparib,METASTASES TO LIVER,180
olaparib,PROSTATIC SPECIFIC ANTIGEN INCREASED,171
olaparib,FALL,163
olaparib,PNEUMONIA,161
olaparib,ABDOMINAL PAIN UPPER,159
olaparib,TUMOUR MARKER INCREASED,154
olaparib,METASTASES TO BONE,149
olaparib,BLOOD CREATININE INCREASED,148
olaparib,COUGH,148
olaparib,BACK PAIN,147
olaparib,HYPERTENSION,146
olaparib,MYALGIA,145
olaparib,PAIN IN EXTREMITY,144
olaparib,RENAL FAILURE,142
olaparib,HAEMATOTOXICITY,141
olaparib,DEHYDRATION,140
olaparib,ABDOMINAL DISCOMFORT,139
olaparib,DRUG INTERACTION,137
olaparib,RED BLOOD CELL COUNT DECREASED,137
olaparib,DYSPHAGIA,134
olaparib,FULL BLOOD COUNT DECREASED,133
olaparib,PERIPHERAL SWELLING,131
olaparib,THROMBOSIS,130
olaparib,DYSPEPSIA,125
olaparib,INSOMNIA,125
olaparib,DRUG INTOLERANCE,123
olaparib,PRURITUS,123
olaparib,INTESTINAL OBSTRUCTION,122
olaparib,PLEURAL EFFUSION,122
olaparib,PNEUMONITIS,122
olaparib,GENERAL PHYSICAL HEALTH DETERIORATION,118
olaparib,NEOPLASM MALIGNANT,118
olaparib,FEELING ABNORMAL,115
olaparib,COVID-19,112
olaparib,METASTASES TO CENTRAL NERVOUS SYSTEM,112
olaparib,ASCITES,108
olaparib,URINARY TRACT INFECTION,105
olaparib,ABDOMINAL DISTENSION,104
olaparib,ILLNESS,104
olaparib,DYSGEUSIA,103
olaparib,TASTE DISORDER,100
olaparib,SOMNOLENCE,99
olaparib,ALOPECIA,97
olaparib,METASTASES TO LYMPH NODES,96
olaparib,UNDERDOSE,95
olaparib,DRUG RESISTANCE,94
olaparib,BONE PAIN,92
olaparib,FULL BLOOD COUNT ABNORMAL,92
olaparib,MUSCLE SPASMS,92
olaparib,CEREBROVASCULAR ACCIDENT,88
olaparib,HYPOTENSION,88
olaparib,BLOOD PRESSURE INCREASED,87
olaparib,GAIT DISTURBANCE,87
olaparib,FEBRILE NEUTROPENIA,86
olaparib,INTENTIONAL PRODUCT MISUSE,85
olaparib,OVARIAN CANCER,85
olaparib,INFECTION,83
olaparib,STOMATITIS,83
trametinib,PYREXIA,3883
trametinib,DEATH,3256
trametinib,MALIGNANT NEOPLASM PROGRESSION,1901
trametinib,RASH,1574
trametinib,FATIGUE,1405
trametinib,NAUSEA,1390
trametinib,CHILLS,1222
trametinib,DIARRHOEA,1192
trametinib,PRODUCT USE IN UNAPPROVED INDICATION,1071
trametinib,VOMITING,1018
trametinib,HEADACHE,708
trametinib,ASTHENIA,675
trametinib,MALAISE,624
trametinib,DRUG INEFFECTIVE,593
trametinib,OFF LABEL USE,571
trametinib,DECREASED APPETITE,566
trametinib,VISUAL IMPAIRMENT,516
trametinib,ARTHRALGIA,514
trametinib,DISEASE PROGRESSION,494
trametinib,DYSPNOEA,469
trametinib,METASTATIC MALIGNANT MELANOMA,459
trametinib,PAIN,458
trametinib,METASTASES TO CENTRAL NERVOUS SYSTEM,447
trametinib,MALIGNANT MELANOMA,421
trametinib,PNEUMONIA,420
trametinib,DEHYDRATION,406
trametinib,DIZZINESS,363
trametinib,COUGH,354
trametinib,CONSTIPATION,341
trametinib,VISION BLURRED,336
trametinib,GENERAL PHYSICAL HEALTH DETERIORATION,332
trametinib,ANAEMIA,324
trametinib,PRURITUS,321
trametinib,ABDOMINAL PAIN,312
trametinib,HYPOTENSION,312
trametinib,WEIGHT DECREASED,309
trametinib,PERIPHERAL SWELLING,300
trametinib,BLOOD CREATINE PHOSPHOKINASE INCREASED,297
trametinib,PAIN IN EXTREMITY,265
trametinib,DRY SKIN,256
trametinib,EJECTION FRACTION DECREASED,256
trametinib,MYALGIA,253
trametinib,DYSPHAGIA,245
trametinib,URINARY TRACT INFECTION,240
trametinib,SEIZURE,236
trametinib,CONFUSIONAL STATE,235
trametinib,SEPSIS,235
trametinib,UVEITIS,233
trametinib,ASPARTATE AMINOTRANSFERASE INCREASED,230
trametinib,INFECTION,230
trametinib,NEUTROPENIA,224
trametinib,ACUTE KIDNEY INJURY,222
trametinib,ACNE,219
trametinib,ALOPECIA,218
trametinib,PRODUCT STORAGE ERROR,217
trametinib,PRODUCT USE ISSUE,217
trametinib,ERYTHEMA,214
trametinib,NEOPLASM MALIGNANT,214
trametinib,FALL,213
trametinib,ALANINE AMINOTRANSFERASE INCREASED,211
trametinib,THROMBOCYTOPENIA,206
trametinib,OEDEMA PERIPHERAL,204
trametinib,C-REACTIVE PROTEIN INCREASED,203
trametinib,TREMOR,203
trametinib,INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,195
trametinib,ABDOMINAL PAIN UPPER,189
trametinib,DRUG INTOLERANCE,185
trametinib,HYPERTENSION,178
trametinib,PULMONARY EMBOLISM,172
trametinib,ABDOMINAL DISCOMFORT,169
trametinib,BACK PAIN,167
trametinib,INCORRECT DOSE ADMINISTERED,165
trametinib,DERMATITIS ACNEIFORM,162
trametinib,GAIT DISTURBANCE,159
trametinib,HEPATIC ENZYME INCREASED,159
trametinib,RENAL FAILURE,158
trametinib,ILLNESS,156
trametinib,METASTASES TO LUNG,152
trametinib,METASTASES TO LIVER,151
trametinib,STOMATITIS,151
trametinib,SYNCOPE,149
trametinib,PNEUMONITIS,146
trametinib,RHABDOMYOLYSIS,146
trametinib,HYPERHIDROSIS,140
trametinib,HYPONATRAEMIA,137
trametinib,PLEURAL EFFUSION,137
trametinib,NEOPLASM PROGRESSION,136
trametinib,EPISTAXIS,134
trametinib,FEELING ABNORMAL,134
trametinib,ATRIAL FIBRILLATION,133
trametinib,INFLUENZA LIKE ILLNESS,133
trametinib,HYPERSENSITIVITY,132
trametinib,BLOOD LACTATE DEHYDROGENASE INCREASED,128
trametinib,PLATELET COUNT DECREASED,128
trametinib,OEDEMA,127
trametinib,SOMNOLENCE,127
trametinib,TOXICITY TO VARIOUS AGENTS,126
trametinib,CARDIAC FAILURE,125
trametinib,DRY MOUTH,124
trametinib,JOINT SWELLING,122
ribociclib,NEUTROPENIA,3193
ribociclib,NAUSEA,3143
ribociclib,FATIGUE,3032
ribociclib,DEATH,2347
ribociclib,MALIGNANT NEOPLASM PROGRESSION,2146
ribociclib,VOMITING,1784
ribociclib,DIARRHOEA,1703
ribociclib,WHITE BLOOD CELL COUNT DECREASED,1533
ribociclib,PAIN,1476
ribociclib,METASTASES TO BONE,1353
ribociclib,DYSPNOEA,1342
ribociclib,BREAST CANCER METASTATIC,1296
ribociclib,MALAISE,1291
ribociclib,ASTHENIA,1228
ribociclib,ANAEMIA,1213
ribociclib,ALOPECIA,1187
ribociclib,DECREASED APPETITE,1163
ribociclib,LEUKOPENIA,1141
ribociclib,RASH,1096
ribociclib,HEADACHE,1064
ribociclib,PRURITUS,1054
ribociclib,ARTHRALGIA,1043
ribociclib,DIZZINESS,1001
ribociclib,COUGH,994
ribociclib,CONSTIPATION,923
ribociclib,ELECTROCARDIOGRAM QT PROLONGED,909
ribociclib,PYREXIA,897
ribociclib,METASTASES TO LIVER,878
ribociclib,BACK PAIN,873
ribociclib,PAIN IN EXTREMITY,873
ribociclib,DRUG INEFFECTIVE,870
ribociclib,GENERAL PHYSICAL HEALTH DETERIORATION,865
ribociclib,WEIGHT DECREASED,781
ribociclib,DECREASED IMMUNE RESPONSIVENESS,747
ribociclib,BREAST CANCER,714
ribociclib,ALANINE AMINOTRANSFERASE INCREASED,697
ribociclib,ASPARTATE AMINOTRANSFERASE INCREASED,659
ribociclib,THROMBOCYTOPENIA,655
ribociclib,HAEMOGLOBIN DECREASED,652
ribociclib,BONE PAIN,626
ribociclib,NEUTROPHIL COUNT DECREASED,624
ribociclib,PLEURAL EFFUSION,600
ribociclib,DISEASE PROGRESSION,597
ribociclib,METASTASES TO LUNG,591
ribociclib,PNEUMONIA,574
ribociclib,PLATELET COUNT DECREASED,547
ribociclib,ABDOMINAL PAIN UPPER,544
ribociclib,COVID-19,537
ribociclib,DRY SKIN,524
ribociclib,BLOOD CREATININE INCREASED,523
ribociclib,ABDOMINAL DISCOMFORT,518
ribociclib,FEELING ABNORMAL,516
ribociclib,PERIPHERAL SWELLING,488
ribociclib,HEPATOTOXICITY,484
ribociclib,INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,483
ribociclib,ABDOMINAL PAIN,480
ribociclib,INSOMNIA,471
ribociclib,ILLNESS,463
ribociclib,HYPERTENSION,459
ribociclib,HYPERSENSITIVITY,449
ribociclib,GAIT DISTURBANCE,448
ribociclib,NASOPHARYNGITIS,441
ribociclib,OFF LABEL USE,426
ribociclib,HEPATIC ENZYME INCREASED,425
ribociclib,URINARY TRACT INFECTION,420
ribociclib,FALL,419
ribociclib,HOT FLUSH,413
ribociclib,DRUG INTOLERANCE,389
ribociclib,ANXIETY,387
ribociclib,LIVER FUNCTION TEST INCREASED,373
ribociclib,METASTASIS,359
ribociclib,ERYTHEMA,350
ribociclib,OEDEMA PERIPHERAL,348
ribociclib,GAMMA-GLUTAMYLTRANSFERASE INCREASED,346
ribociclib,DYSPEPSIA,341
ribociclib,CHEST PAIN,332
ribociclib,DEPRESSION,326
ribociclib,INFLUENZA,326
ribociclib,RENAL IMPAIRMENT,325
ribociclib,DYSPHAGIA,319
ribociclib,MEMORY IMPAIRMENT,318
ribociclib,TUMOUR MARKER INCREASED,317
ribociclib,VISUAL IMPAIRMENT,315
ribociclib,RENAL FAILURE,312
ribociclib,SOMNOLENCE,305
ribociclib,ATRIAL FIBRILLATION,301
ribociclib,PRODUCT DOSE OMISSION ISSUE,301
ribociclib,RED BLOOD CELL COUNT DECREASED,299
ribociclib,DEHYDRATION,289
ribociclib,NEOPLASM MALIGNANT,289
ribociclib,TRANSAMINASES INCREASED,284
ribociclib,METASTASES TO SPINE,275
ribociclib,ASCITES,274
ribociclib,WEIGHT INCREASED,274
ribociclib,BLOOD ALKALINE PHOSPHATASE INCREASED,271
ribociclib,BLOOD BILIRUBIN INCREASED,256
ribociclib,DISCOMFORT,256
ribociclib,LIVER DISORDER,252
ribociclib,INFECTION,250
ribociclib,ACUTE KIDNEY INJURY,248
durvalumab,DEATH,2350
durvalumab,MALIGNANT NEOPLASM PROGRESSION,1147
durvalumab,RADIATION PNEUMONITIS,756
durvalumab,PNEUMONITIS,754
durvalumab,PYREXIA,508
durvalumab,DIARRHOEA,456
durvalumab,DYSPNOEA,440
durvalumab,PNEUMONIA,403
durvalumab,INTERSTITIAL LUNG DISEASE,400
durvalumab,OFF LABEL USE,366
durvalumab,FATIGUE,338
durvalumab,FEBRILE NEUTROPENIA,303
durvalumab,RASH,303
durvalumab,COLITIS,295
durvalumab,ASTHENIA,283
durvalumab,NEUTROPHIL COUNT DECREASED,282
durvalumab,ANAEMIA,261
durvalumab,PLATELET COUNT DECREASED,246
durvalumab,DISEASE PROGRESSION,245
durvalumab,METASTASES TO CENTRAL NERVOUS SYSTEM,243
durvalumab,NAUSEA,233
durvalumab,VOMITING,220
durvalumab,DECREASED APPETITE,219
durvalumab,THROMBOCYTOPENIA,216
durvalumab,MYELOSUPPRESSION,215
durvalumab,HYPOTHYROIDISM,208
durvalumab,PLEURAL EFFUSION,198
durvalumab,DRUG INEFFECTIVE,188
durvalumab,NEUTROPENIA,186
durvalumab,TOXICITY TO VARIOUS AGENTS,184
durvalumab,SEPSIS,182
durvalumab,COUGH,181
durvalumab,HEPATIC FUNCTION ABNORMAL,181
durvalumab,MYOCARDITIS,181
durvalumab,LUNG DISORDER,155
durvalumab,ACUTE KIDNEY INJURY,153
durvalumab,DRUG-INDUCED LIVER INJURY,151
durvalumab,PRURITUS,145
durvalumab,MALAISE,141
durvalumab,RESPIRATORY FAILURE,140
durvalumab,HEPATITIS,131
durvalumab,LIVER DISORDER,129
durvalumab,WHITE BLOOD CELL COUNT DECREASED,129
durvalumab,ARTHRALGIA,128
durvalumab,ABDOMINAL PAIN,124
durvalumab,ADRENAL INSUFFICIENCY,122
durvalumab,GENERAL PHYSICAL HEALTH DETERIORATION,121
durvalumab,DEHYDRATION,119
durvalumab,HYPERTHYROIDISM,113
durvalumab,CYTOKINE RELEASE SYNDROME,108
durvalumab,IMMUNE-MEDIATED ENTEROCOLITIS,107
durvalumab,MYOSITIS,102
durvalumab,PULMONARY TOXICITY,102
durvalumab,CHOLANGITIS,101
durvalumab,NEUROPATHY PERIPHERAL,100
durvalumab,MUSCULAR WEAKNESS,98
durvalumab,COVID-19,97
durvalumab,HYPOTENSION,97
durvalumab,METASTASES TO LIVER,97
durvalumab,PULMONARY EMBOLISM,97
durvalumab,WEIGHT DECREASED,96
durvalumab,HYPERTENSION,95
durvalumab,CONSTIPATION,94
durvalumab,PANCYTOPENIA,93
durvalumab,CEREBROVASCULAR ACCIDENT,90
durvalumab,CONDITION AGGRAVATED,88
durvalumab,METASTASES TO BONE,88
durvalumab,ALANINE AMINOTRANSFERASE INCREASED,86
durvalumab,INFECTION,86
durvalumab,OESOPHAGITIS,86
durvalumab,DIZZINESS,85
durvalumab,PANCREATITIS,85
durvalumab,CHILLS,84
durvalumab,IMMUNE-MEDIATED HEPATITIS,84
durvalumab,DIABETES MELLITUS,83
durvalumab,NEOPLASM PROGRESSION,83
durvalumab,BILIARY TRACT INFECTION,79
durvalumab,DYSPHAGIA,79
durvalumab,MYALGIA,79
durvalumab,PAIN,79
durvalumab,URINARY TRACT INFECTION,79
durvalumab,HAEMOPTYSIS,78
durvalumab,ASPARTATE AMINOTRANSFERASE INCREASED,77
durvalumab,ATRIAL FIBRILLATION,77
durvalumab,CARDIAC FAILURE,77
durvalumab,IMMUNE-MEDIATED LUNG DISEASE,76
durvalumab,MYASTHENIA GRAVIS,74
durvalumab,FALL,72
durvalumab,HAEMATOTOXICITY,72
durvalumab,IMMUNE-MEDIATED HEPATIC DISORDER,72
durvalumab,RENAL FAILURE,71
durvalumab,CONFUSIONAL STATE,70
durvalumab,HEADACHE,70
durvalumab,PNEUMOTHORAX,69
durvalumab,BACK PAIN,68
durvalumab,ARTHRITIS,66
durvalumab,PERICARDIAL EFFUSION,65
durvalumab,RENAL IMPAIRMENT,65
durvalumab,ALOPECIA,63
durvalumab,INFUSION RELATED REACTION,63
lenvatinib,DIARRHOEA,4080
lenvatinib,HYPERTENSION,3864
lenvatinib,FATIGUE,3520
lenvatinib,DECREASED APPETITE,3118
lenvatinib,MALIGNANT NEOPLASM PROGRESSION,2739
lenvatinib,NAUSEA,2437
lenvatinib,BLOOD PRESSURE INCREASED,2183
lenvatinib,VOMITING,1925
lenvatinib,ASTHENIA,1575
lenvatinib,WEIGHT DECREASED,1495
lenvatinib,MALAISE,1488
lenvatinib,DEHYDRATION,1480
lenvatinib,PYREXIA,1371
lenvatinib,HYPOTHYROIDISM,1250
lenvatinib,HEADACHE,1232
lenvatinib,PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,1126
lenvatinib,PLATELET COUNT DECREASED,1126
lenvatinib,PROTEINURIA,1099
lenvatinib,RASH,1088
lenvatinib,STOMATITIS,1035
lenvatinib,ARTHRALGIA,973
lenvatinib,DYSPHONIA,966
lenvatinib,DEATH,933
lenvatinib,ABDOMINAL PAIN,905
lenvatinib,CONSTIPATION,893
lenvatinib,DYSPNOEA,829
lenvatinib,PAIN,725
lenvatinib,PNEUMONIA,673
lenvatinib,RENAL IMPAIRMENT,673
lenvatinib,DIZZINESS,598
lenvatinib,ABDOMINAL PAIN UPPER,596
lenvatinib,INTERSTITIAL LUNG DISEASE,563
lenvatinib,PRODUCT USE ISSUE,532
lenvatinib,PAIN IN EXTREMITY,514
lenvatinib,HYPOTENSION,510
lenvatinib,HEPATIC ENCEPHALOPATHY,509
lenvatinib,OFF LABEL USE,505
lenvatinib,ACUTE KIDNEY INJURY,500
lenvatinib,BACK PAIN,497
lenvatinib,MYALGIA,488
lenvatinib,COUGH,487
lenvatinib,EPISTAXIS,487
lenvatinib,ANAEMIA,484
lenvatinib,DRUG INEFFECTIVE,478
lenvatinib,HEPATIC FUNCTION ABNORMAL,476
lenvatinib,CARDIAC FAILURE,455
lenvatinib,URINARY TRACT INFECTION,455
lenvatinib,ADRENAL INSUFFICIENCY,404
lenvatinib,ASCITES,395
lenvatinib,CONFUSIONAL STATE,390
lenvatinib,THROMBOCYTOPENIA,381
lenvatinib,PRURITUS,379
lenvatinib,ORAL PAIN,377
lenvatinib,PULMONARY EMBOLISM,370
lenvatinib,DRY MOUTH,357
lenvatinib,ABDOMINAL DISCOMFORT,348
lenvatinib,PERIPHERAL SWELLING,346
lenvatinib,HYPONATRAEMIA,345
lenvatinib,RENAL FAILURE,336
lenvatinib,CEREBROVASCULAR ACCIDENT,335
lenvatinib,COLITIS,319
lenvatinib,PLEURAL EFFUSION,308
lenvatinib,INSOMNIA,307
lenvatinib,PRODUCT USE IN UNAPPROVED INDICATION,306
lenvatinib,FALL,303
lenvatinib,CHEST PAIN,294
lenvatinib,PANCREATITIS,294
lenvatinib,CHOLECYSTITIS,292
lenvatinib,SEPSIS,284
lenvatinib,BLOOD CREATININE INCREASED,283
lenvatinib,SOMNOLENCE,271
lenvatinib,OEDEMA PERIPHERAL,268
lenvatinib,MYOCARDIAL INFARCTION,261
lenvatinib,TASTE DISORDER,255
lenvatinib,DYSPHAGIA,254
lenvatinib,MUSCLE SPASMS,246
lenvatinib,GASTROINTESTINAL HAEMORRHAGE,239
lenvatinib,BLOOD PRESSURE FLUCTUATION,234
lenvatinib,LIVER DISORDER,234
lenvatinib,OROPHARYNGEAL PAIN,231
lenvatinib,GENERAL PHYSICAL HEALTH DETERIORATION,229
lenvatinib,HEPATIC ENZYME INCREASED,228
lenvatinib,INFECTION,228
lenvatinib,GAIT DISTURBANCE,226
lenvatinib,BLOOD BILIRUBIN INCREASED,224
lenvatinib,ASPARTATE AMINOTRANSFERASE INCREASED,223
lenvatinib,HEPATIC FAILURE,223
lenvatinib,PNEUMONITIS,222
lenvatinib,BLOOD THYROID STIMULATING HORMONE INCREASED,219
lenvatinib,FEELING ABNORMAL,219
lenvatinib,HYPERTHYROIDISM,214
lenvatinib,ALANINE AMINOTRANSFERASE INCREASED,213
lenvatinib,AMMONIA INCREASED,211
lenvatinib,PNEUMOTHORAX,210
lenvatinib,CEREBRAL HAEMORRHAGE,208
lenvatinib,ABDOMINAL DISTENSION,207
lenvatinib,INTESTINAL PERFORATION,205
lenvatinib,BLISTER,203
lenvatinib,DRY SKIN,196
lenvatinib,NEUROPATHY PERIPHERAL,196
palbociclib,FATIGUE,14910
palbociclib,WHITE BLOOD CELL COUNT DECREASED,10971
palbociclib,NEOPLASM PROGRESSION,10943
palbociclib,NAUSEA,8133
palbociclib,DEATH,8055
palbociclib,NEUTROPENIA,6338
palbociclib,ALOPECIA,6099
palbociclib,DIARRHOEA,5565
palbociclib,ASTHENIA,3647
palbociclib,PAIN,3380
palbociclib,DECREASED APPETITE,3359
palbociclib,OFF LABEL USE,3339
palbociclib,MALAISE,3276
palbociclib,DYSPNOEA,3169
palbociclib,VOMITING,3060
palbociclib,ARTHRALGIA,2939
palbociclib,CONSTIPATION,2670
palbociclib,STOMATITIS,2659
palbociclib,HEADACHE,2639
palbociclib,DIZZINESS,2404
palbociclib,COUGH,2241
palbociclib,DISEASE PROGRESSION,2241
palbociclib,RASH,2237
palbociclib,PLATELET COUNT DECREASED,2232
palbociclib,NEUTROPHIL COUNT DECREASED,2173
palbociclib,ANAEMIA,2144
palbociclib,PRODUCT DOSE OMISSION ISSUE,2122
palbociclib,WEIGHT DECREASED,1874
palbociclib,FULL BLOOD COUNT DECREASED,1873
palbociclib,HOT FLUSH,1835
palbociclib,MALIGNANT NEOPLASM PROGRESSION,1820
palbociclib,BACK PAIN,1804
palbociclib,RED BLOOD CELL COUNT DECREASED,1751
palbociclib,PYREXIA,1723
palbociclib,HAEMOGLOBIN DECREASED,1675
palbociclib,PRURITUS,1648
palbociclib,PAIN IN EXTREMITY,1644
palbociclib,PRODUCT USE ISSUE,1559
palbociclib,COVID-19,1478
palbociclib,PNEUMONIA,1439
palbociclib,LEUKOPENIA,1404
palbociclib,INSOMNIA,1394
palbociclib,DRY SKIN,1371
palbociclib,THROMBOCYTOPENIA,1365
palbociclib,NASOPHARYNGITIS,1313
palbociclib,NEUROPATHY PERIPHERAL,1305
palbociclib,MEMORY IMPAIRMENT,1298
palbociclib,ABDOMINAL DISCOMFORT,1293
palbociclib,EPISTAXIS,1262
palbociclib,ILLNESS,1235
palbociclib,BONE PAIN,1224
palbociclib,FALL,1213
palbociclib,FEELING ABNORMAL,1207
palbociclib,URINARY TRACT INFECTION,1185
palbociclib,BLOOD COUNT ABNORMAL,1171
palbociclib,DRUG INEFFECTIVE,1118
palbociclib,FULL BLOOD COUNT ABNORMAL,1118
palbociclib,PERIPHERAL SWELLING,1073
palbociclib,CONDITION AGGRAVATED,1028
palbociclib,ABDOMINAL PAIN UPPER,1000
palbociclib,ANXIETY,974
palbociclib,BONE MARROW FAILURE,957
palbociclib,WEIGHT INCREASED,947
palbociclib,HYPOAESTHESIA,945
palbociclib,PRODUCT USE IN UNAPPROVED INDICATION,929
palbociclib,BREAST CANCER METASTATIC,896
palbociclib,HYPOACUSIS,890
palbociclib,DEHYDRATION,866
palbociclib,GAIT DISTURBANCE,859
palbociclib,METASTASES TO BONE,858
palbociclib,MYALGIA,857
palbociclib,PLEURAL EFFUSION,851
palbociclib,TUMOUR MARKER INCREASED,847
palbociclib,SOMNOLENCE,838
palbociclib,MUSCLE SPASMS,812
palbociclib,DEPRESSION,809
palbociclib,INFECTION,800
palbociclib,DYSPEPSIA,781
palbociclib,PARAESTHESIA,774
palbociclib,ABDOMINAL PAIN,771
palbociclib,DYSPHAGIA,758
palbociclib,ORAL PAIN,752
palbociclib,CONFUSIONAL STATE,688
palbociclib,OROPHARYNGEAL PAIN,688
palbociclib,CHILLS,657
palbociclib,BREAST CANCER,650
palbociclib,SECOND PRIMARY MALIGNANCY,641
palbociclib,METASTASES TO LIVER,621
palbociclib,PULMONARY EMBOLISM,620
palbociclib,DYSGEUSIA,615
palbociclib,THROMBOSIS,611
palbociclib,PANCYTOPENIA,606
palbociclib,CHEST PAIN,596
palbociclib,CEREBROVASCULAR ACCIDENT,594
palbociclib,CONTUSION,593
palbociclib,THERAPY CESSATION,590
palbociclib,DRY MOUTH,583
palbociclib,HYPERTENSION,580
palbociclib,INFLUENZA,576
palbociclib,GENERAL PHYSICAL HEALTH DETERIORATION,553
trifluridine tipiracil,NEUTROPENIA,73
trifluridine tipiracil,DIARRHOEA,62
trifluridine tipiracil,ANAEMIA,38
trifluridine tipiracil,THROMBOCYTOPENIA,30
trifluridine tipiracil,FATIGUE,29
trifluridine tipiracil,DISEASE PROGRESSION,28
trifluridine tipiracil,NAUSEA,27
trifluridine tipiracil,NEUROTOXICITY,25
trifluridine tipiracil,ASTHENIA,22
trifluridine tipiracil,VOMITING,21
trifluridine tipiracil,HAEMATOTOXICITY,18
trifluridine tipiracil,NEUROPATHY PERIPHERAL,18
trifluridine tipiracil,STOMATITIS,18
trifluridine tipiracil,COLORECTAL CANCER METASTATIC,17
trifluridine tipiracil,HYPERTENSION,17
trifluridine tipiracil,FEBRILE NEUTROPENIA,16
trifluridine tipiracil,DECREASED APPETITE,15
trifluridine tipiracil,PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,14
trifluridine tipiracil,DEATH,13
trifluridine tipiracil,DRUG INEFFECTIVE,11
trifluridine tipiracil,LEUKOPENIA,11
trifluridine tipiracil,DRUG INTOLERANCE,10
trifluridine tipiracil,PROTEINURIA,10
trifluridine tipiracil,THERAPEUTIC PRODUCT EFFECT INCOMPLETE,9
trifluridine tipiracil,ANAL INFLAMMATION,8
trifluridine tipiracil,GASTROINTESTINAL TOXICITY,8
trifluridine tipiracil,INFECTION,8
trifluridine tipiracil,MALIGNANT NEOPLASM PROGRESSION,8
trifluridine tipiracil,SKIN TOXICITY,8
trifluridine tipiracil,TOXICITY TO VARIOUS AGENTS,8
trifluridine tipiracil,ALOPECIA,7
trifluridine tipiracil,MUSCLE SPASMS,7
trifluridine tipiracil,PNEUMONIA,7
trifluridine tipiracil,ABDOMINAL PAIN,6
trifluridine tipiracil,CLOSTRIDIUM DIFFICILE INFECTION,6
trifluridine tipiracil,HEPATOTOXICITY,6
trifluridine tipiracil,METASTASES TO LIVER,6
trifluridine tipiracil,METASTASES TO LUNG,6
trifluridine tipiracil,MUCOSAL INFLAMMATION,6
trifluridine tipiracil,PYREXIA,6
trifluridine tipiracil,THERAPY PARTIAL RESPONDER,6
trifluridine tipiracil,TRANSIENT ISCHAEMIC ATTACK,6
trifluridine tipiracil,WEIGHT DECREASED,6
trifluridine tipiracil,CONDITION AGGRAVATED,5
trifluridine tipiracil,CONJUNCTIVITIS,5
trifluridine tipiracil,DIABETES MELLITUS,5
trifluridine tipiracil,NEUTROPHIL COUNT DECREASED,5
trifluridine tipiracil,OFF LABEL USE,5
trifluridine tipiracil,TOXIC CARDIOMYOPATHY,5
trifluridine tipiracil,ACUTE KIDNEY INJURY,4
trifluridine tipiracil,ALANINE AMINOTRANSFERASE INCREASED,4
trifluridine tipiracil,BLOOD BILIRUBIN INCREASED,4
trifluridine tipiracil,CIRCULATORY COLLAPSE,4
trifluridine tipiracil,IGA NEPHROPATHY,4
trifluridine tipiracil,METABOLIC ACIDOSIS,4
trifluridine tipiracil,MUCOSAL TOXICITY,4
trifluridine tipiracil,MYELOSUPPRESSION,4
trifluridine tipiracil,PLATELET COUNT DECREASED,4
trifluridine tipiracil,PULMONARY EMBOLISM,4
trifluridine tipiracil,ADVERSE EVENT,3
trifluridine tipiracil,ASCITES,3
trifluridine tipiracil,BLOOD LACTATE DEHYDROGENASE INCREASED,3
trifluridine tipiracil,CHOLESTASIS,3
trifluridine tipiracil,CONSTIPATION,3
trifluridine tipiracil,DEVICE RELATED INFECTION,3
trifluridine tipiracil,DISEASE RECURRENCE,3
trifluridine tipiracil,DYSAESTHESIA,3
trifluridine tipiracil,HAEMORRHAGE,3
trifluridine tipiracil,HEADACHE,3
trifluridine tipiracil,HYPOKALAEMIA,3
trifluridine tipiracil,METABOLIC DISORDER,3
trifluridine tipiracil,METASTASES TO PERITONEUM,3
trifluridine tipiracil,PALPITATIONS,3
trifluridine tipiracil,PERIPHERAL SENSORY NEUROPATHY,3
trifluridine tipiracil,PHOTOPHOBIA,3
trifluridine tipiracil,PNEUMONITIS,3
trifluridine tipiracil,WHITE BLOOD CELL COUNT DECREASED,3
trifluridine tipiracil,ADENOCARCINOMA OF COLON,2
trifluridine tipiracil,ANAPHYLACTIC REACTION,2
trifluridine tipiracil,BACK PAIN,2
trifluridine tipiracil,BLOOD PRESSURE INCREASED,2
trifluridine tipiracil,CARDIAC DISORDER,2
trifluridine tipiracil,CATHETER SITE INFECTION,2
trifluridine tipiracil,DRY SKIN,2
trifluridine tipiracil,DYSGEUSIA,2
trifluridine tipiracil,DYSPNOEA,2
trifluridine tipiracil,EMBOLISM,2
trifluridine tipiracil,EPISTAXIS,2
trifluridine tipiracil,FACIAL BONES FRACTURE,2
trifluridine tipiracil,FALL,2
trifluridine tipiracil,FUNCTIONAL GASTROINTESTINAL DISORDER,2
trifluridine tipiracil,GASTRIC CANCER,2
