tumor,drug,results
Ampullary Adenocarcinoma,sodium chloride,0
Ampullary Adenocarcinoma,encorafenib,0
Ampullary Adenocarcinoma,everolimus,0
Ampullary Adenocarcinoma,vinorelbine,0
Ampullary Adenocarcinoma,pemetrexed,0
Ampullary Adenocarcinoma,binimetinib,0
Ampullary Adenocarcinoma,carboplatin,3
Ampullary Adenocarcinoma,abiraterone,0
Ampullary Adenocarcinoma,denosumab,0
Ampullary Adenocarcinoma,everolimus,0
Ampullary Adenocarcinoma,filgrastim,0
Ampullary Adenocarcinoma,fluorouracil,35
Ampullary Adenocarcinoma,doxorubicin,2
Ampullary Adenocarcinoma,gemcitabine,42
Ampullary Adenocarcinoma,regorafenib,0
Ampullary Adenocarcinoma,selpercatinib,0
Ampullary Adenocarcinoma,remdesivir,0
Ampullary Adenocarcinoma,enoxaparin,0
Ampullary Adenocarcinoma,irinotecan,7
Ampullary Adenocarcinoma,nintedanib,0
Ampullary Adenocarcinoma,plerixafor,0
Ampullary Adenocarcinoma,alpelisib,0
Ampullary Adenocarcinoma,rucaparib,0
Ampullary Adenocarcinoma,temozolomide,0
Ampullary Adenocarcinoma,oxaliplatin,14
Ampullary Adenocarcinoma,sotorasib,0
Duodenal Adenocarcinoma,pembrolizumab,17
Duodenal Adenocarcinoma,osimertinib,1
Duodenal Adenocarcinoma,nivolumab,8
Duodenal Adenocarcinoma,abemaciclib,0
Duodenal Adenocarcinoma,emtansine trastuzumab,0
Duodenal Adenocarcinoma,pertuzumab,1
Duodenal Adenocarcinoma,panitumumab,2
Duodenal Adenocarcinoma,alectinib,0
Duodenal Adenocarcinoma,dabrafenib,1
Duodenal Adenocarcinoma,niraparib,0
Duodenal Adenocarcinoma,trastuzumab,20
Duodenal Adenocarcinoma,cabozantinib,0
Duodenal Adenocarcinoma,deruxtecan trastuzumab,1
Duodenal Adenocarcinoma,ramucirumab,1
Duodenal Adenocarcinoma,atezolizumab,3
Duodenal Adenocarcinoma,bevacizumab,18
Duodenal Adenocarcinoma,olaparib,0
Duodenal Adenocarcinoma,trametinib,3
Duodenal Adenocarcinoma,ribociclib,0
Duodenal Adenocarcinoma,durvalumab,1
Duodenal Adenocarcinoma,lenvatinib,2
Duodenal Adenocarcinoma,palbociclib,1
Duodenal Adenocarcinoma,trifluridine tipiracil,0
Duodenal Adenocarcinoma,ipilimumab,5
Duodenal Adenocarcinoma,pazopanib,2
Duodenal Adenocarcinoma,crizotinib,0
Duodenal Adenocarcinoma,trabectedin,0
Duodenal Adenocarcinoma,avelumab,1
Duodenal Adenocarcinoma,lorlatinib,0
Duodenal Adenocarcinoma,enzalutamide,0
Duodenal Adenocarcinoma,afatinib,1
Duodenal Adenocarcinoma,capecitabine,52
Duodenal Adenocarcinoma,cetuximab,7
Duodenal Adenocarcinoma,paclitaxel albumin,5
Duodenal Adenocarcinoma,aflibercept,0
Duodenal Adenocarcinoma,sacituzumab govitecan,0
Duodenal Adenocarcinoma,eribulin,0
Duodenal Adenocarcinoma,paclitaxel,24
Duodenal Adenocarcinoma,sodium chloride,5
Duodenal Adenocarcinoma,encorafenib,0
Duodenal Adenocarcinoma,everolimus,2
Duodenal Adenocarcinoma,vinorelbine,0
Duodenal Adenocarcinoma,pemetrexed,0
Duodenal Adenocarcinoma,binimetinib,0
Duodenal Adenocarcinoma,carboplatin,9
Duodenal Adenocarcinoma,abiraterone,1
Duodenal Adenocarcinoma,denosumab,0
Duodenal Adenocarcinoma,everolimus,2
Duodenal Adenocarcinoma,filgrastim,0
Duodenal Adenocarcinoma,fluorouracil,197
Duodenal Adenocarcinoma,doxorubicin,29
Duodenal Adenocarcinoma,gemcitabine,102
Duodenal Adenocarcinoma,regorafenib,1
Duodenal Adenocarcinoma,selpercatinib,0
Duodenal Adenocarcinoma,remdesivir,0
Duodenal Adenocarcinoma,enoxaparin,2
Duodenal Adenocarcinoma,irinotecan,30
Duodenal Adenocarcinoma,nintedanib,0
Duodenal Adenocarcinoma,plerixafor,0
Duodenal Adenocarcinoma,alpelisib,0
Duodenal Adenocarcinoma,rucaparib,0
Duodenal Adenocarcinoma,temozolomide,2
Duodenal Adenocarcinoma,oxaliplatin,54
Duodenal Adenocarcinoma,sotorasib,0
Rectal Adenocarcinoma,pembrolizumab,17
Rectal Adenocarcinoma,osimertinib,1
Rectal Adenocarcinoma,nivolumab,12
Rectal Adenocarcinoma,abemaciclib,0
Rectal Adenocarcinoma,emtansine trastuzumab,0
Rectal Adenocarcinoma,pertuzumab,1
Rectal Adenocarcinoma,panitumumab,34
Rectal Adenocarcinoma,alectinib,1
Rectal Adenocarcinoma,dabrafenib,2
Rectal Adenocarcinoma,niraparib,0
Rectal Adenocarcinoma,trastuzumab,3
Rectal Adenocarcinoma,cabozantinib,0
Rectal Adenocarcinoma,deruxtecan trastuzumab,0
Rectal Adenocarcinoma,ramucirumab,2
Rectal Adenocarcinoma,atezolizumab,3
Rectal Adenocarcinoma,bevacizumab,147
Rectal Adenocarcinoma,olaparib,3
Rectal Adenocarcinoma,trametinib,2
Rectal Adenocarcinoma,ribociclib,0
Rectal Adenocarcinoma,durvalumab,1
Rectal Adenocarcinoma,lenvatinib,1
Rectal Adenocarcinoma,palbociclib,0
Rectal Adenocarcinoma,trifluridine tipiracil,5
Rectal Adenocarcinoma,ipilimumab,3
Rectal Adenocarcinoma,pazopanib,2
Rectal Adenocarcinoma,crizotinib,1
Rectal Adenocarcinoma,trabectedin,0
Rectal Adenocarcinoma,avelumab,2
Rectal Adenocarcinoma,lorlatinib,0
Rectal Adenocarcinoma,enzalutamide,2
Rectal Adenocarcinoma,afatinib,1
Rectal Adenocarcinoma,capecitabine,393
Rectal Adenocarcinoma,cetuximab,64
Rectal Adenocarcinoma,paclitaxel albumin,1
Rectal Adenocarcinoma,aflibercept,4
Rectal Adenocarcinoma,sacituzumab govitecan,0
Rectal Adenocarcinoma,eribulin,0
Rectal Adenocarcinoma,paclitaxel,23
Rectal Adenocarcinoma,sodium chloride,9
Rectal Adenocarcinoma,encorafenib,0
Rectal Adenocarcinoma,everolimus,1
Rectal Adenocarcinoma,vinorelbine,1
Rectal Adenocarcinoma,pemetrexed,6
Rectal Adenocarcinoma,binimetinib,0
Rectal Adenocarcinoma,carboplatin,32
Rectal Adenocarcinoma,abiraterone,7
Rectal Adenocarcinoma,denosumab,1
Rectal Adenocarcinoma,everolimus,1
Rectal Adenocarcinoma,filgrastim,0
Rectal Adenocarcinoma,fluorouracil,1399
Rectal Adenocarcinoma,doxorubicin,55
Rectal Adenocarcinoma,gemcitabine,15
Rectal Adenocarcinoma,regorafenib,11
Rectal Adenocarcinoma,selpercatinib,0
Rectal Adenocarcinoma,remdesivir,0
Rectal Adenocarcinoma,enoxaparin,0
Rectal Adenocarcinoma,irinotecan,164
Rectal Adenocarcinoma,nintedanib,0
Rectal Adenocarcinoma,plerixafor,0
Rectal Adenocarcinoma,alpelisib,0
Rectal Adenocarcinoma,rucaparib,0
Rectal Adenocarcinoma,temozolomide,1
Rectal Adenocarcinoma,oxaliplatin,376
Rectal Adenocarcinoma,sotorasib,0
Gastric Lymphoma,pembrolizumab,0
Gastric Lymphoma,osimertinib,0
Gastric Lymphoma,nivolumab,1
Gastric Lymphoma,abemaciclib,0
Gastric Lymphoma,emtansine trastuzumab,0
Gastric Lymphoma,pertuzumab,0
Gastric Lymphoma,panitumumab,0
Gastric Lymphoma,alectinib,0
Gastric Lymphoma,dabrafenib,0
Gastric Lymphoma,niraparib,0
Gastric Lymphoma,trastuzumab,0
Gastric Lymphoma,cabozantinib,0
Gastric Lymphoma,deruxtecan trastuzumab,0
Gastric Lymphoma,ramucirumab,0
Gastric Lymphoma,atezolizumab,0
Gastric Lymphoma,bevacizumab,0
Gastric Lymphoma,olaparib,0
Gastric Lymphoma,trametinib,0
Gastric Lymphoma,ribociclib,0
Gastric Lymphoma,durvalumab,0
Gastric Lymphoma,lenvatinib,0
Gastric Lymphoma,palbociclib,0
Gastric Lymphoma,trifluridine tipiracil,0
Gastric Lymphoma,ipilimumab,0
Gastric Lymphoma,pazopanib,0
Gastric Lymphoma,crizotinib,0
Gastric Lymphoma,trabectedin,0
Gastric Lymphoma,avelumab,0
Gastric Lymphoma,lorlatinib,0
Gastric Lymphoma,enzalutamide,0
Gastric Lymphoma,afatinib,0
Gastric Lymphoma,capecitabine,1
Gastric Lymphoma,cetuximab,0
Gastric Lymphoma,paclitaxel albumin,0
Gastric Lymphoma,aflibercept,0
Gastric Lymphoma,sacituzumab govitecan,0
Gastric Lymphoma,eribulin,0
Gastric Lymphoma,paclitaxel,1
Gastric Lymphoma,sodium chloride,0
Gastric Lymphoma,encorafenib,0
Gastric Lymphoma,everolimus,0
Gastric Lymphoma,vinorelbine,1
Gastric Lymphoma,pemetrexed,0
Gastric Lymphoma,binimetinib,0
Gastric Lymphoma,carboplatin,1
Gastric Lymphoma,abiraterone,0
Gastric Lymphoma,denosumab,0
Gastric Lymphoma,everolimus,0
Gastric Lymphoma,filgrastim,0
Gastric Lymphoma,fluorouracil,1
Gastric Lymphoma,doxorubicin,69
Gastric Lymphoma,gemcitabine,1
Gastric Lymphoma,regorafenib,0
Gastric Lymphoma,selpercatinib,0
Gastric Lymphoma,remdesivir,0
Gastric Lymphoma,enoxaparin,0
Gastric Lymphoma,irinotecan,1
Gastric Lymphoma,nintedanib,0
Gastric Lymphoma,plerixafor,0
Gastric Lymphoma,alpelisib,0
Gastric Lymphoma,rucaparib,0
Gastric Lymphoma,temozolomide,0
Gastric Lymphoma,oxaliplatin,1
Gastric Lymphoma,sotorasib,0
Colorectal Carcinoid Tumor,pembrolizumab,2
Colorectal Carcinoid Tumor,osimertinib,0
Colorectal Carcinoid Tumor,nivolumab,0
Colorectal Carcinoid Tumor,abemaciclib,0
Colorectal Carcinoid Tumor,emtansine trastuzumab,0
Colorectal Carcinoid Tumor,pertuzumab,0
Colorectal Carcinoid Tumor,panitumumab,0
Colorectal Carcinoid Tumor,alectinib,0
Colorectal Carcinoid Tumor,dabrafenib,0
Colorectal Carcinoid Tumor,niraparib,0
Colorectal Carcinoid Tumor,trastuzumab,0
Colorectal Carcinoid Tumor,cabozantinib,1
Colorectal Carcinoid Tumor,deruxtecan trastuzumab,0
Colorectal Carcinoid Tumor,ramucirumab,0
Colorectal Carcinoid Tumor,atezolizumab,0
Colorectal Carcinoid Tumor,bevacizumab,1
Colorectal Carcinoid Tumor,olaparib,0
Colorectal Carcinoid Tumor,trametinib,0
Colorectal Carcinoid Tumor,ribociclib,0
Colorectal Carcinoid Tumor,durvalumab,0
Colorectal Carcinoid Tumor,lenvatinib,0
Colorectal Carcinoid Tumor,palbociclib,0
Colorectal Carcinoid Tumor,trifluridine tipiracil,0
Colorectal Carcinoid Tumor,ipilimumab,0
Colorectal Carcinoid Tumor,pazopanib,0
Colorectal Carcinoid Tumor,crizotinib,0
Colorectal Carcinoid Tumor,trabectedin,0
Colorectal Carcinoid Tumor,avelumab,0
Colorectal Carcinoid Tumor,lorlatinib,0
Colorectal Carcinoid Tumor,enzalutamide,0
Colorectal Carcinoid Tumor,afatinib,0
Colorectal Carcinoid Tumor,capecitabine,1
Colorectal Carcinoid Tumor,cetuximab,1
Colorectal Carcinoid Tumor,paclitaxel albumin,0
Colorectal Carcinoid Tumor,aflibercept,0
Colorectal Carcinoid Tumor,sacituzumab govitecan,0
Colorectal Carcinoid Tumor,eribulin,0
Colorectal Carcinoid Tumor,paclitaxel,1
Colorectal Carcinoid Tumor,sodium chloride,0
Colorectal Carcinoid Tumor,encorafenib,0
Colorectal Carcinoid Tumor,everolimus,2
Colorectal Carcinoid Tumor,vinorelbine,0
Colorectal Carcinoid Tumor,pemetrexed,0
Colorectal Carcinoid Tumor,binimetinib,0
Colorectal Carcinoid Tumor,carboplatin,0
Colorectal Carcinoid Tumor,abiraterone,0
Colorectal Carcinoid Tumor,denosumab,0
Colorectal Carcinoid Tumor,everolimus,2
Colorectal Carcinoid Tumor,filgrastim,0
Colorectal Carcinoid Tumor,fluorouracil,11
Colorectal Carcinoid Tumor,doxorubicin,3
Colorectal Carcinoid Tumor,gemcitabine,0
Colorectal Carcinoid Tumor,regorafenib,1
Colorectal Carcinoid Tumor,selpercatinib,1
Colorectal Carcinoid Tumor,remdesivir,0
Colorectal Carcinoid Tumor,enoxaparin,0
Colorectal Carcinoid Tumor,irinotecan,1
Colorectal Carcinoid Tumor,nintedanib,0
Colorectal Carcinoid Tumor,plerixafor,0
Colorectal Carcinoid Tumor,alpelisib,0
Colorectal Carcinoid Tumor,rucaparib,0
Colorectal Carcinoid Tumor,temozolomide,1
Colorectal Carcinoid Tumor,oxaliplatin,1
Colorectal Carcinoid Tumor,sotorasib,0
Gastrointestinal Carcinoma In Situ,pembrolizumab,1
Gastrointestinal Carcinoma In Situ,osimertinib,0
Gastrointestinal Carcinoma In Situ,nivolumab,1
Gastrointestinal Carcinoma In Situ,abemaciclib,0
Gastrointestinal Carcinoma In Situ,emtansine trastuzumab,0
Gastrointestinal Carcinoma In Situ,pertuzumab,0
Gastrointestinal Carcinoma In Situ,panitumumab,0
Gastrointestinal Carcinoma In Situ,alectinib,1
Gastrointestinal Carcinoma In Situ,dabrafenib,0
Gastrointestinal Carcinoma In Situ,niraparib,0
Gastrointestinal Carcinoma In Situ,trastuzumab,5
Gastrointestinal Carcinoma In Situ,cabozantinib,1
Gastrointestinal Carcinoma In Situ,deruxtecan trastuzumab,1
Gastrointestinal Carcinoma In Situ,ramucirumab,0
Gastrointestinal Carcinoma In Situ,atezolizumab,2
Gastrointestinal Carcinoma In Situ,bevacizumab,2
Gastrointestinal Carcinoma In Situ,olaparib,0
Gastrointestinal Carcinoma In Situ,trametinib,0
Gastrointestinal Carcinoma In Situ,ribociclib,0
Gastrointestinal Carcinoma In Situ,durvalumab,0
Gastrointestinal Carcinoma In Situ,lenvatinib,0
Gastrointestinal Carcinoma In Situ,palbociclib,0
Gastrointestinal Carcinoma In Situ,trifluridine tipiracil,0
Gastrointestinal Carcinoma In Situ,ipilimumab,0
Gastrointestinal Carcinoma In Situ,pazopanib,0
Gastrointestinal Carcinoma In Situ,crizotinib,7
Gastrointestinal Carcinoma In Situ,trabectedin,0
Gastrointestinal Carcinoma In Situ,avelumab,1
Gastrointestinal Carcinoma In Situ,lorlatinib,0
Gastrointestinal Carcinoma In Situ,enzalutamide,0
Gastrointestinal Carcinoma In Situ,afatinib,1
Gastrointestinal Carcinoma In Situ,capecitabine,0
Gastrointestinal Carcinoma In Situ,cetuximab,1
Gastrointestinal Carcinoma In Situ,paclitaxel albumin,0
Gastrointestinal Carcinoma In Situ,aflibercept,0
Gastrointestinal Carcinoma In Situ,sacituzumab govitecan,0
Gastrointestinal Carcinoma In Situ,eribulin,0
Gastrointestinal Carcinoma In Situ,paclitaxel,2
Gastrointestinal Carcinoma In Situ,sodium chloride,1
Gastrointestinal Carcinoma In Situ,encorafenib,0
Gastrointestinal Carcinoma In Situ,everolimus,0
Gastrointestinal Carcinoma In Situ,vinorelbine,0
Gastrointestinal Carcinoma In Situ,pemetrexed,0
Gastrointestinal Carcinoma In Situ,binimetinib,0
Gastrointestinal Carcinoma In Situ,carboplatin,0
Gastrointestinal Carcinoma In Situ,abiraterone,0
Gastrointestinal Carcinoma In Situ,denosumab,0
Gastrointestinal Carcinoma In Situ,everolimus,0
Gastrointestinal Carcinoma In Situ,filgrastim,0
Gastrointestinal Carcinoma In Situ,fluorouracil,9
Gastrointestinal Carcinoma In Situ,doxorubicin,5
Gastrointestinal Carcinoma In Situ,gemcitabine,4
Gastrointestinal Carcinoma In Situ,regorafenib,0
Gastrointestinal Carcinoma In Situ,selpercatinib,1
Gastrointestinal Carcinoma In Situ,remdesivir,0
Gastrointestinal Carcinoma In Situ,enoxaparin,0
Gastrointestinal Carcinoma In Situ,irinotecan,0
Gastrointestinal Carcinoma In Situ,nintedanib,0
Gastrointestinal Carcinoma In Situ,plerixafor,0
Gastrointestinal Carcinoma In Situ,alpelisib,0
Gastrointestinal Carcinoma In Situ,rucaparib,0
Gastrointestinal Carcinoma In Situ,temozolomide,0
Gastrointestinal Carcinoma In Situ,oxaliplatin,5
Gastrointestinal Carcinoma In Situ,sotorasib,0
Pancreatic Neuroendocrine Tumor,pembrolizumab,29
Pancreatic Neuroendocrine Tumor,osimertinib,0
Pancreatic Neuroendocrine Tumor,nivolumab,35
Pancreatic Neuroendocrine Tumor,abemaciclib,0
Pancreatic Neuroendocrine Tumor,emtansine trastuzumab,0
Pancreatic Neuroendocrine Tumor,pertuzumab,2
Pancreatic Neuroendocrine Tumor,panitumumab,0
Pancreatic Neuroendocrine Tumor,alectinib,2
Pancreatic Neuroendocrine Tumor,dabrafenib,15
Pancreatic Neuroendocrine Tumor,niraparib,0
Pancreatic Neuroendocrine Tumor,trastuzumab,5
Pancreatic Neuroendocrine Tumor,cabozantinib,15
Pancreatic Neuroendocrine Tumor,deruxtecan trastuzumab,0
Pancreatic Neuroendocrine Tumor,ramucirumab,3
Pancreatic Neuroendocrine Tumor,atezolizumab,5
Pancreatic Neuroendocrine Tumor,bevacizumab,66
Pancreatic Neuroendocrine Tumor,olaparib,4
Pancreatic Neuroendocrine Tumor,trametinib,13
Pancreatic Neuroendocrine Tumor,ribociclib,1
Pancreatic Neuroendocrine Tumor,durvalumab,5
Pancreatic Neuroendocrine Tumor,lenvatinib,16
Pancreatic Neuroendocrine Tumor,palbociclib,6
Pancreatic Neuroendocrine Tumor,trifluridine tipiracil,0
Pancreatic Neuroendocrine Tumor,ipilimumab,36
Pancreatic Neuroendocrine Tumor,pazopanib,17
Pancreatic Neuroendocrine Tumor,crizotinib,3
Pancreatic Neuroendocrine Tumor,trabectedin,0
Pancreatic Neuroendocrine Tumor,avelumab,4
Pancreatic Neuroendocrine Tumor,lorlatinib,2
Pancreatic Neuroendocrine Tumor,enzalutamide,1
Pancreatic Neuroendocrine Tumor,afatinib,1
Pancreatic Neuroendocrine Tumor,capecitabine,151
Pancreatic Neuroendocrine Tumor,cetuximab,6
Pancreatic Neuroendocrine Tumor,paclitaxel albumin,6
Pancreatic Neuroendocrine Tumor,aflibercept,3
Pancreatic Neuroendocrine Tumor,sacituzumab govitecan,0
Pancreatic Neuroendocrine Tumor,eribulin,1
Pancreatic Neuroendocrine Tumor,paclitaxel,29
Pancreatic Neuroendocrine Tumor,sodium chloride,5
Pancreatic Neuroendocrine Tumor,encorafenib,0
Pancreatic Neuroendocrine Tumor,everolimus,483
Pancreatic Neuroendocrine Tumor,vinorelbine,2
Pancreatic Neuroendocrine Tumor,pemetrexed,1
Pancreatic Neuroendocrine Tumor,binimetinib,0
Pancreatic Neuroendocrine Tumor,carboplatin,45
Pancreatic Neuroendocrine Tumor,abiraterone,1
Pancreatic Neuroendocrine Tumor,denosumab,10
Pancreatic Neuroendocrine Tumor,everolimus,483
Pancreatic Neuroendocrine Tumor,filgrastim,1
Pancreatic Neuroendocrine Tumor,fluorouracil,242
Pancreatic Neuroendocrine Tumor,doxorubicin,79
Pancreatic Neuroendocrine Tumor,gemcitabine,56
Pancreatic Neuroendocrine Tumor,regorafenib,4
Pancreatic Neuroendocrine Tumor,selpercatinib,4
Pancreatic Neuroendocrine Tumor,remdesivir,0
Pancreatic Neuroendocrine Tumor,enoxaparin,2
Pancreatic Neuroendocrine Tumor,irinotecan,43
Pancreatic Neuroendocrine Tumor,nintedanib,3
Pancreatic Neuroendocrine Tumor,plerixafor,0
Pancreatic Neuroendocrine Tumor,alpelisib,3
Pancreatic Neuroendocrine Tumor,rucaparib,1
Pancreatic Neuroendocrine Tumor,temozolomide,190
Pancreatic Neuroendocrine Tumor,oxaliplatin,48
Pancreatic Neuroendocrine Tumor,sotorasib,0
Gastric Carcinoma In Situ,pembrolizumab,0
Gastric Carcinoma In Situ,osimertinib,1
Gastric Carcinoma In Situ,nivolumab,1
Gastric Carcinoma In Situ,abemaciclib,0
Gastric Carcinoma In Situ,emtansine trastuzumab,1
Gastric Carcinoma In Situ,pertuzumab,1
Gastric Carcinoma In Situ,panitumumab,0
Gastric Carcinoma In Situ,alectinib,0
Gastric Carcinoma In Situ,dabrafenib,0
Gastric Carcinoma In Situ,niraparib,0
Gastric Carcinoma In Situ,trastuzumab,46
Gastric Carcinoma In Situ,cabozantinib,1
Gastric Carcinoma In Situ,deruxtecan trastuzumab,0
Gastric Carcinoma In Situ,ramucirumab,0
Gastric Carcinoma In Situ,atezolizumab,0
Gastric Carcinoma In Situ,bevacizumab,0
Gastric Carcinoma In Situ,olaparib,0
Gastric Carcinoma In Situ,trametinib,0
Gastric Carcinoma In Situ,ribociclib,0
Gastric Carcinoma In Situ,durvalumab,0
Gastric Carcinoma In Situ,lenvatinib,0
Gastric Carcinoma In Situ,palbociclib,0
Gastric Carcinoma In Situ,trifluridine tipiracil,0
Gastric Carcinoma In Situ,ipilimumab,0
Gastric Carcinoma In Situ,pazopanib,0
Gastric Carcinoma In Situ,crizotinib,4
Gastric Carcinoma In Situ,trabectedin,0
Gastric Carcinoma In Situ,avelumab,0
Gastric Carcinoma In Situ,lorlatinib,0
Gastric Carcinoma In Situ,enzalutamide,0
Gastric Carcinoma In Situ,afatinib,0
Gastric Carcinoma In Situ,capecitabine,2
Gastric Carcinoma In Situ,cetuximab,0
Gastric Carcinoma In Situ,paclitaxel albumin,0
Gastric Carcinoma In Situ,aflibercept,0
Gastric Carcinoma In Situ,sacituzumab govitecan,0
Gastric Carcinoma In Situ,eribulin,0
Gastric Carcinoma In Situ,paclitaxel,9
Gastric Carcinoma In Situ,sodium chloride,1
Gastric Carcinoma In Situ,encorafenib,0
Gastric Carcinoma In Situ,everolimus,0
Gastric Carcinoma In Situ,vinorelbine,0
Gastric Carcinoma In Situ,pemetrexed,0
Gastric Carcinoma In Situ,binimetinib,0
Gastric Carcinoma In Situ,carboplatin,2
Gastric Carcinoma In Situ,abiraterone,0
Gastric Carcinoma In Situ,denosumab,0
Gastric Carcinoma In Situ,everolimus,0
Gastric Carcinoma In Situ,filgrastim,0
Gastric Carcinoma In Situ,fluorouracil,30
Gastric Carcinoma In Situ,doxorubicin,7
Gastric Carcinoma In Situ,gemcitabine,2
Gastric Carcinoma In Situ,regorafenib,0
Gastric Carcinoma In Situ,selpercatinib,0
Gastric Carcinoma In Situ,remdesivir,0
Gastric Carcinoma In Situ,enoxaparin,0
Gastric Carcinoma In Situ,irinotecan,2
Gastric Carcinoma In Situ,nintedanib,0
Gastric Carcinoma In Situ,plerixafor,0
Gastric Carcinoma In Situ,alpelisib,0
Gastric Carcinoma In Situ,rucaparib,0
Gastric Carcinoma In Situ,temozolomide,1
Gastric Carcinoma In Situ,oxaliplatin,6
Gastric Carcinoma In Situ,sotorasib,0
Gastrointestinal Carcinosarcoma,pembrolizumab,0
Gastrointestinal Carcinosarcoma,osimertinib,0
Gastrointestinal Carcinosarcoma,nivolumab,0
Gastrointestinal Carcinosarcoma,abemaciclib,0
Gastrointestinal Carcinosarcoma,emtansine trastuzumab,0
Gastrointestinal Carcinosarcoma,pertuzumab,0
Gastrointestinal Carcinosarcoma,panitumumab,0
Gastrointestinal Carcinosarcoma,alectinib,0
Gastrointestinal Carcinosarcoma,dabrafenib,0
Gastrointestinal Carcinosarcoma,niraparib,0
Gastrointestinal Carcinosarcoma,trastuzumab,0
Gastrointestinal Carcinosarcoma,cabozantinib,1
Gastrointestinal Carcinosarcoma,deruxtecan trastuzumab,0
Gastrointestinal Carcinosarcoma,ramucirumab,0
Gastrointestinal Carcinosarcoma,atezolizumab,0
Gastrointestinal Carcinosarcoma,bevacizumab,0
Gastrointestinal Carcinosarcoma,olaparib,0
Gastrointestinal Carcinosarcoma,trametinib,0
Gastrointestinal Carcinosarcoma,ribociclib,0
Gastrointestinal Carcinosarcoma,durvalumab,0
Gastrointestinal Carcinosarcoma,lenvatinib,0
Gastrointestinal Carcinosarcoma,palbociclib,0
Gastrointestinal Carcinosarcoma,trifluridine tipiracil,0
Gastrointestinal Carcinosarcoma,ipilimumab,0
Gastrointestinal Carcinosarcoma,pazopanib,1
Gastrointestinal Carcinosarcoma,crizotinib,0
Gastrointestinal Carcinosarcoma,trabectedin,0
Gastrointestinal Carcinosarcoma,avelumab,0
Gastrointestinal Carcinosarcoma,lorlatinib,0
Gastrointestinal Carcinosarcoma,enzalutamide,0
Gastrointestinal Carcinosarcoma,afatinib,0
Gastrointestinal Carcinosarcoma,capecitabine,1
Gastrointestinal Carcinosarcoma,cetuximab,0
Gastrointestinal Carcinosarcoma,paclitaxel albumin,0
Gastrointestinal Carcinosarcoma,aflibercept,0
Gastrointestinal Carcinosarcoma,sacituzumab govitecan,0
Gastrointestinal Carcinosarcoma,eribulin,0
Gastrointestinal Carcinosarcoma,paclitaxel,5
Gastrointestinal Carcinosarcoma,sodium chloride,1
Gastrointestinal Carcinosarcoma,encorafenib,0
Gastrointestinal Carcinosarcoma,everolimus,0
Gastrointestinal Carcinosarcoma,vinorelbine,0
Gastrointestinal Carcinosarcoma,pemetrexed,0
Gastrointestinal Carcinosarcoma,binimetinib,0
Gastrointestinal Carcinosarcoma,carboplatin,3
Gastrointestinal Carcinosarcoma,abiraterone,0
Gastrointestinal Carcinosarcoma,denosumab,0
Gastrointestinal Carcinosarcoma,everolimus,0
Gastrointestinal Carcinosarcoma,filgrastim,0
Gastrointestinal Carcinosarcoma,fluorouracil,4
Gastrointestinal Carcinosarcoma,doxorubicin,0
Gastrointestinal Carcinosarcoma,gemcitabine,2
Gastrointestinal Carcinosarcoma,regorafenib,0
Gastrointestinal Carcinosarcoma,selpercatinib,0
Gastrointestinal Carcinosarcoma,remdesivir,0
Gastrointestinal Carcinosarcoma,enoxaparin,0
Gastrointestinal Carcinosarcoma,irinotecan,1
Gastrointestinal Carcinosarcoma,nintedanib,0
Gastrointestinal Carcinosarcoma,plerixafor,0
Gastrointestinal Carcinosarcoma,alpelisib,0
Gastrointestinal Carcinosarcoma,rucaparib,0
Gastrointestinal Carcinosarcoma,temozolomide,0
Gastrointestinal Carcinosarcoma,oxaliplatin,1
Gastrointestinal Carcinosarcoma,sotorasib,0
Gastrointestinal Dysplasia,pembrolizumab,0
Gastrointestinal Dysplasia,osimertinib,0
Gastrointestinal Dysplasia,nivolumab,0
Gastrointestinal Dysplasia,abemaciclib,0
Gastrointestinal Dysplasia,emtansine trastuzumab,0
Gastrointestinal Dysplasia,pertuzumab,0
Gastrointestinal Dysplasia,panitumumab,0
Gastrointestinal Dysplasia,alectinib,0
Gastrointestinal Dysplasia,dabrafenib,0
Gastrointestinal Dysplasia,niraparib,0
Gastrointestinal Dysplasia,trastuzumab,1
Gastrointestinal Dysplasia,cabozantinib,0
Gastrointestinal Dysplasia,deruxtecan trastuzumab,0
Gastrointestinal Dysplasia,ramucirumab,0
Gastrointestinal Dysplasia,atezolizumab,0
Gastrointestinal Dysplasia,bevacizumab,5
Gastrointestinal Dysplasia,olaparib,0
Gastrointestinal Dysplasia,trametinib,0
Gastrointestinal Dysplasia,ribociclib,0
Gastrointestinal Dysplasia,durvalumab,0
Gastrointestinal Dysplasia,lenvatinib,0
Gastrointestinal Dysplasia,palbociclib,1
Gastrointestinal Dysplasia,trifluridine tipiracil,0
Gastrointestinal Dysplasia,ipilimumab,0
Gastrointestinal Dysplasia,pazopanib,0
Gastrointestinal Dysplasia,crizotinib,0
Gastrointestinal Dysplasia,trabectedin,0
Gastrointestinal Dysplasia,avelumab,0
Gastrointestinal Dysplasia,lorlatinib,0
Gastrointestinal Dysplasia,enzalutamide,0
Gastrointestinal Dysplasia,afatinib,0
Gastrointestinal Dysplasia,capecitabine,2
Gastrointestinal Dysplasia,cetuximab,0
Gastrointestinal Dysplasia,paclitaxel albumin,0
